Web Search interest: smite patch notes
Worldwide Nov-Dec 2015

Interest over time
Week,smite patch notes
2015-11-01 - 2015-11-07,49
2015-11-08 - 2015-11-14,71
2015-11-15 - 2015-11-21,45
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,58
2015-12-20 - 2015-12-26,35









