Web Search interest: smite patch notes
Worldwide Mar-Apr 2015

Interest over time
Week,smite patch notes
2015-03-01 - 2015-03-07,0
2015-03-08 - 2015-03-14,77
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,51
2015-04-05 - 2015-04-11,29
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,96
2015-04-26 - 2015-05-02,100









