Web Search interest: smite patch notes
Worldwide Jan-Feb 2015

Interest over time
Week,smite patch notes
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,54
2015-01-18 - 2015-01-24,68
2015-01-25 - 2015-01-31,51
2015-02-01 - 2015-02-07,33
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,42
2015-02-22 - 2015-02-28,51









