Web Search interest: smite patch notes
Worldwide Jul-Aug 2014

Interest over time
Week,smite patch notes
2014-07-06 - 2014-07-12,60
2014-07-13 - 2014-07-19,80
2014-07-20 - 2014-07-26,86
2014-07-27 - 2014-08-02,93
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,100
2014-08-17 - 2014-08-23,65
2014-08-24 - 2014-08-30,71
2014-08-31 - 2014-09-06,77









