Web Search interest: smite patch notes
Worldwide May-Jun 2014

Interest over time
Week,smite patch notes
2014-05-04 - 2014-05-10,41
2014-05-11 - 2014-05-17,43
2014-05-18 - 2014-05-24,100
2014-05-25 - 2014-05-31,82
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,73
2014-06-15 - 2014-06-21,65
2014-06-22 - 2014-06-28,69
2014-06-29 - 2014-07-05,0









