Web Search interest: smite patch notes
Worldwide Sep-Oct 2015

Interest over time
Week,smite patch notes
2015-09-06 - 2015-09-12,28
2015-09-13 - 2015-09-19,88
2015-09-20 - 2015-09-26,70
2015-09-27 - 2015-10-03,100
2015-10-04 - 2015-10-10,49
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,56
2015-10-25 - 2015-10-31,65









