Web Search interest: smite patch notes
Worldwide Jul-Aug 2015

Interest over time
Week,smite patch notes
2015-07-05 - 2015-07-11,35
2015-07-12 - 2015-07-18,57
2015-07-19 - 2015-07-25,37
2015-07-26 - 2015-08-01,100
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,32
2015-08-23 - 2015-08-29,63
2015-08-30 - 2015-09-05,58









