Web Search interest: smite patch notes
Worldwide Nov-Dec 2014

Interest over time
Week,smite patch notes
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,80
2014-11-16 - 2014-11-22,96
2014-11-23 - 2014-11-29,62
2014-11-30 - 2014-12-06,62
2014-12-07 - 2014-12-13,100
2014-12-14 - 2014-12-20,87
2014-12-21 - 2014-12-27,0
2014-12-28 - 2015-01-03,0









