Web Search interest: smite patch notes
Worldwide Jan-Feb 2014

Interest over time
Week,smite patch notes
2014-01-05 - 2014-01-11,93
2014-01-12 - 2014-01-18,78
2014-01-19 - 2014-01-25,58
2014-01-26 - 2014-02-01,74
2014-02-02 - 2014-02-08,100
2014-02-09 - 2014-02-15,70
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,0









