Web Search interest: smite patch notes
Worldwide Mar-Apr 2014

Interest over time
Week,smite patch notes
2014-03-02 - 2014-03-08,95
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,67
2014-03-23 - 2014-03-29,66
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,86
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,66
2014-04-27 - 2014-05-03,100









