Web Search interest: overwatch beta release
Worldwide Nov-Dec 2015

Interest over time
Week,overwatch beta release
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,46
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,37
2015-11-29 - 2015-12-05,30
2015-12-06 - 2015-12-12,20
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,0



Top searches for overwatch beta release
overwatch release date,100






