Web Search interest: joindota
Worldwide Mar-Apr 2014

Interest over time
Day,joindota
2014-03-01,42
2014-03-02,63
2014-03-03,49
2014-03-04,56
2014-03-05,51
2014-03-06,56
2014-03-07,56
2014-03-08,60
2014-03-09,52
2014-03-10,51
2014-03-11,48
2014-03-12,46
2014-03-13,51
2014-03-14,45
2014-03-15,57
2014-03-16,51
2014-03-17,41
2014-03-18,50
2014-03-19,46
2014-03-20,49
2014-03-21,49
2014-03-22,54
2014-03-23,65
2014-03-24,50
2014-03-25,48
2014-03-26,42
2014-03-27,41
2014-03-28,74
2014-03-29,66
2014-03-30,63
2014-03-31,56
2014-04-01,59
2014-04-02,52
2014-04-03,47
2014-04-04,46
2014-04-05,47
2014-04-06,60
2014-04-07,57
2014-04-08,44
2014-04-09,47
2014-04-10,48
2014-04-11,40
2014-04-12,59
2014-04-13,68
2014-04-14,62
2014-04-15,58
2014-04-16,54
2014-04-17,69
2014-04-18,80
2014-04-19,89
2014-04-20,100
2014-04-21,48
2014-04-22,44
2014-04-23,38
2014-04-24,36
2014-04-25,42
2014-04-26,70
2014-04-27,61
2014-04-28,41
2014-04-29,51
2014-04-30,57




Top cities for joindota
Town/City,joindota
Singapore (Singapore),100
Kuala Lumpur (Malaysia),53



Top searches for joindota
joindota youtube,100
joindota league,85






