Web Search interest: joindota
Worldwide Sep-Oct 2014

Interest over time
Day,joindota
2014-09-01,78
2014-09-02,78
2014-09-03,70
2014-09-04,69
2014-09-05,80
2014-09-06,97
2014-09-07,98
2014-09-08,62
2014-09-09,67
2014-09-10,93
2014-09-11,79
2014-09-12,64
2014-09-13,82
2014-09-14,62
2014-09-15,74
2014-09-16,83
2014-09-17,74
2014-09-18,78
2014-09-19,81
2014-09-20,71
2014-09-21,70
2014-09-22,68
2014-09-23,71
2014-09-24,64
2014-09-25,80
2014-09-26,84
2014-09-27,84
2014-09-28,75
2014-09-29,55
2014-09-30,59
2014-10-01,73
2014-10-02,67
2014-10-03,100
2014-10-04,97
2014-10-05,71
2014-10-06,69
2014-10-07,64
2014-10-08,56
2014-10-09,80
2014-10-10,91
2014-10-11,83
2014-10-12,70
2014-10-13,76
2014-10-14,63
2014-10-15,57
2014-10-16,57
2014-10-17,71
2014-10-18,70
2014-10-19,73
2014-10-20,63
2014-10-21,54
2014-10-22,54
2014-10-23,69
2014-10-24,87
2014-10-25,86
2014-10-26,78
2014-10-27,52
2014-10-28,60
2014-10-29,59
2014-10-30,53
2014-10-31,60


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
Town/City,joindota
San Juan de Lurigancho (Peru),100
Singapore (Singapore),26



Top searches for joindota
joindota youtube,100
gosugamers,55






