Web Search interest: joindota
Worldwide Jul-Aug 2014

Interest over time
Day,joindota
2014-07-01,25
2014-07-02,24
2014-07-03,23
2014-07-04,22
2014-07-05,27
2014-07-06,31
2014-07-07,29
2014-07-08,77
2014-07-09,87
2014-07-10,96
2014-07-11,95
2014-07-12,100
2014-07-13,71
2014-07-14,53
2014-07-15,35
2014-07-16,26
2014-07-17,25
2014-07-18,65
2014-07-19,92
2014-07-20,86
2014-07-21,79
2014-07-22,28
2014-07-23,23
2014-07-24,21
2014-07-25,18
2014-07-26,24
2014-07-27,28
2014-07-28,19
2014-07-29,21
2014-07-30,30
2014-07-31,26
2014-08-01,34
2014-08-02,31
2014-08-03,41
2014-08-04,28
2014-08-05,28
2014-08-06,26
2014-08-07,41
2014-08-08,33
2014-08-09,34
2014-08-10,40
2014-08-11,30
2014-08-12,25
2014-08-13,36
2014-08-14,30
2014-08-15,28
2014-08-16,29
2014-08-17,38
2014-08-18,36
2014-08-19,28
2014-08-20,40
2014-08-21,38
2014-08-22,40
2014-08-23,37
2014-08-24,44
2014-08-25,48
2014-08-26,63
2014-08-27,65
2014-08-28,43
2014-08-29,44
2014-08-30,44
2014-08-31,39




Top cities for joindota
Town/City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota league,100
joindota youtube,95
ti4,85
joindota twitch,80
dota2lounge,65



Rising searches for joindota
ti4,+160%



