Web Search interest: joindota
Worldwide Jul-Aug 2015

Interest over time
Day,joindota
2015-07-01,24
2015-07-02,25
2015-07-03,26
2015-07-04,27
2015-07-05,28
2015-07-06,23
2015-07-07,23
2015-07-08,20
2015-07-09,34
2015-07-10,30
2015-07-11,22
2015-07-12,32
2015-07-13,28
2015-07-14,33
2015-07-15,26
2015-07-16,27
2015-07-17,28
2015-07-18,31
2015-07-19,34
2015-07-20,37
2015-07-21,29
2015-07-22,34
2015-07-23,28
2015-07-24,30
2015-07-25,39
2015-07-26,74
2015-07-27,94
2015-07-28,90
2015-07-29,69
2015-07-30,59
2015-07-31,45
2015-08-01,30
2015-08-02,27
2015-08-03,75
2015-08-04,98
2015-08-05,80
2015-08-06,85
2015-08-07,76
2015-08-08,100
2015-08-09,52
2015-08-10,24
2015-08-11,23
2015-08-12,23
2015-08-13,22
2015-08-14,25
2015-08-15,43
2015-08-16,39
2015-08-17,30
2015-08-18,31
2015-08-19,37
2015-08-20,26
2015-08-21,33
2015-08-22,48
2015-08-23,32
2015-08-24,37
2015-08-25,34
2015-08-26,35
2015-08-27,28
2015-08-28,35
2015-08-29,29
2015-08-30,32
2015-08-31,32




Top cities for joindota
Town/City,joindota
Breña (Peru),100
Singapore (Singapore),44
Kuala Lumpur (Malaysia),33



Top searches for joindota
joindota league,100
gosugamers,80






