Web Search interest: joindota
Worldwide Nov-Dec 2015

Interest over time
Day,joindota
2015-11-01,80
2015-11-02,46
2015-11-03,60
2015-11-04,52
2015-11-05,59
2015-11-06,49
2015-11-07,55
2015-11-08,61
2015-11-09,42
2015-11-10,43
2015-11-11,54
2015-11-12,50
2015-11-13,90
2015-11-14,94
2015-11-15,63
2015-11-16,87
2015-11-17,85
2015-11-18,78
2015-11-19,83
2015-11-20,84
2015-11-21,100
2015-11-22,45
2015-11-23,42
2015-11-24,38
2015-11-25,45
2015-11-26,42
2015-11-27,55
2015-11-28,55
2015-11-29,45
2015-11-30,47
2015-12-01,47
2015-12-02,64
2015-12-03,54
2015-12-04,47
2015-12-05,64
2015-12-06,60
2015-12-07,55
2015-12-08,45
2015-12-09,44
2015-12-10,55
2015-12-11,51
2015-12-12,44
2015-12-13,65
2015-12-14,41
2015-12-15,44
2015-12-16,44
2015-12-17,60
2015-12-18,55
2015-12-19,57
2015-12-20,64
2015-12-21,41
2015-12-22,47
2015-12-23, 
2015-12-24, 









