Web Search interest: joindota
Worldwide Nov-Dec 2014

Interest over time
Day,joindota
2014-11-01,96
2014-11-02,100
2014-11-03,80
2014-11-04,76
2014-11-05,81
2014-11-06,65
2014-11-07,66
2014-11-08,80
2014-11-09,85
2014-11-10,63
2014-11-11,82
2014-11-12,83
2014-11-13,77
2014-11-14,78
2014-11-15,93
2014-11-16,84
2014-11-17,65
2014-11-18,67
2014-11-19,66
2014-11-20,63
2014-11-21,63
2014-11-22,58
2014-11-23,63
2014-11-24,59
2014-11-25,51
2014-11-26,57
2014-11-27,60
2014-11-28,61
2014-11-29,69
2014-11-30,58
2014-12-01,57
2014-12-02,52
2014-12-03,78
2014-12-04,88
2014-12-05,71
2014-12-06,78
2014-12-07,80
2014-12-08,68
2014-12-09,48
2014-12-10,48
2014-12-11,59
2014-12-12,58
2014-12-13,65
2014-12-14,71
2014-12-15,54
2014-12-16,61
2014-12-17,62
2014-12-18,57
2014-12-19,49
2014-12-20,67
2014-12-21,49
2014-12-22,62
2014-12-23,59
2014-12-24,51
2014-12-25,41
2014-12-26,41
2014-12-27,55
2014-12-28,51
2014-12-29,45
2014-12-30,45
2014-12-31,50


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
Town/City,joindota
Singapore (Singapore),100



Top searches for joindota
gosugamers,100






