Web Search interest: overwatch release date
Worldwide Nov-Dec 2014

Interest over time
Week,overwatch release date
2014-11-02 - 2014-11-08,53
2014-11-09 - 2014-11-15,100
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,27
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,35









