Web Search interest: overwatch beta
Worldwide Mar-Apr 2015

Interest over time
Week,overwatch beta
2015-03-01 - 2015-03-07,86
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,70
2015-03-22 - 2015-03-28,72
2015-03-29 - 2015-04-04,71
2015-04-05 - 2015-04-11,76
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,51
2015-04-26 - 2015-05-02,68



Top searches for overwatch beta
overwatch beta release,100






