Web Search interest: magicka game
Worldwide Mar-Apr 2011

Interest over time
Week,magicka game
2011-03-06 - 2011-03-12,100
2011-03-13 - 2011-03-19,93
2011-03-20 - 2011-03-26,88
2011-03-27 - 2011-04-02,77
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,97
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,53









