Web Search interest: magicka game
Worldwide Jul-Aug 2011

Interest over time
Week,magicka game
2011-07-03 - 2011-07-09,95
2011-07-10 - 2011-07-16,100
2011-07-17 - 2011-07-23,54
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,39
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,39









