Web Search interest: magicka game
Worldwide May-Jun 2011

Interest over time
Week,magicka game
2011-05-01 - 2011-05-07,77
2011-05-08 - 2011-05-14,76
2011-05-15 - 2011-05-21,62
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,100
2011-06-05 - 2011-06-11,75
2011-06-12 - 2011-06-18,77
2011-06-19 - 2011-06-25,79
2011-06-26 - 2011-07-02,82









