Web Search interest: heroes of the storm characters
Worldwide May-Jun 2015

Interest over time
Week,heroes of the storm characters
2015-05-03 - 2015-05-09,30
2015-05-10 - 2015-05-16,40
2015-05-17 - 2015-05-23,46
2015-05-24 - 2015-05-30,71
2015-05-31 - 2015-06-06,99
2015-06-07 - 2015-06-13,100
2015-06-14 - 2015-06-20,67
2015-06-21 - 2015-06-27,48
2015-06-28 - 2015-07-04,46









