Web Search interest: heroes of the storm characters
Worldwide Jan-Feb 2015

Interest over time
Week,heroes of the storm characters
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,97
2015-01-25 - 2015-01-31,84
2015-02-01 - 2015-02-07,100
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,99
2015-02-22 - 2015-02-28,88









