Web Search interest: heroes of the storm characters
Worldwide Mar-Apr 2015

Interest over time
Week,heroes of the storm characters
2015-03-01 - 2015-03-07,66
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,97
2015-03-22 - 2015-03-28,100
2015-03-29 - 2015-04-04,86
2015-04-05 - 2015-04-11,84
2015-04-12 - 2015-04-18,54
2015-04-19 - 2015-04-25,77
2015-04-26 - 2015-05-02,79









