Web Search interest: dotabuff
Worldwide Sep-Oct 2014

Interest over time
Day,dotabuff
2014-09-01,56
2014-09-02,49
2014-09-03,56
2014-09-04,61
2014-09-05,88
2014-09-06,100
2014-09-07,79
2014-09-08,61
2014-09-09,66
2014-09-10,61
2014-09-11,61
2014-09-12,68
2014-09-13,78
2014-09-14,79
2014-09-15,62
2014-09-16,60
2014-09-17,62
2014-09-18,56
2014-09-19,63
2014-09-20,70
2014-09-21,67
2014-09-22,53
2014-09-23,53
2014-09-24,53
2014-09-25,52
2014-09-26,68
2014-09-27,77
2014-09-28,79
2014-09-29,60
2014-09-30,63
2014-10-01,58
2014-10-02,62
2014-10-03,65
2014-10-04,71
2014-10-05,76
2014-10-06,57
2014-10-07,60
2014-10-08,69
2014-10-09,61
2014-10-10,59
2014-10-11,79
2014-10-12,80
2014-10-13,67
2014-10-14,63
2014-10-15,66
2014-10-16,59
2014-10-17,70
2014-10-18,80
2014-10-19,86
2014-10-20,67
2014-10-21,65
2014-10-22,71
2014-10-23,66
2014-10-24,74
2014-10-25,80
2014-10-26,77
2014-10-27,74
2014-10-28,70
2014-10-29,62
2014-10-30,71
2014-10-31,66


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,64
United States,5


Top cities for dotabuff
City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),78
Moscow (Russia),76
Melbourne (Australia),27
Sydney (Australia),19



Top searches for dotabuff
dendi dotabuff,100
dotabuff high skill,55
arteezy dotabuff,45






