Web Search interest: dotabuff
Worldwide Jan-Feb 2015

Interest over time
Day,dotabuff
2015-01-01,77
2015-01-02,72
2015-01-03,90
2015-01-04,92
2015-01-05,78
2015-01-06,79
2015-01-07,77
2015-01-08,76
2015-01-09,75
2015-01-10,82
2015-01-11,80
2015-01-12,71
2015-01-13,81
2015-01-14,75
2015-01-15,73
2015-01-16,87
2015-01-17,87
2015-01-18,93
2015-01-19,79
2015-01-20,72
2015-01-21,73
2015-01-22,77
2015-01-23,80
2015-01-24,94
2015-01-25,87
2015-01-26,75
2015-01-27,65
2015-01-28,61
2015-01-29,61
2015-01-30,69
2015-01-31,84
2015-02-01,86
2015-02-02,69
2015-02-03,78
2015-02-04,74
2015-02-05,76
2015-02-06,76
2015-02-07,88
2015-02-08,85
2015-02-09,81
2015-02-10,79
2015-02-11,79
2015-02-12,82
2015-02-13,80
2015-02-14,100
2015-02-15,88
2015-02-16,78
2015-02-17,81
2015-02-18,78
2015-02-19,73
2015-02-20,85
2015-02-21,84
2015-02-22,99
2015-02-23,74
2015-02-24,71
2015-02-25,75
2015-02-26,69
2015-02-27,77
2015-02-28,90


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,69
United States,5


Top cities for dotabuff
City,dotabuff
Saint Petersburg (Russia),100
Moscow (Russia),85
Singapore (Singapore),82
Kiev (Ukraine),49
Kuala Lumpur (Malaysia),33



Top searches for dotabuff
dendi dotabuff,100
arteezy dotabuff,50
high skill dotabuff,50






