Web Search interest: dotabuff
Worldwide Jul-Aug 2015

Interest over time
Day,dotabuff
2015-07-01,59
2015-07-02,66
2015-07-03,73
2015-07-04,66
2015-07-05,76
2015-07-06,65
2015-07-07,66
2015-07-08,69
2015-07-09,60
2015-07-10,72
2015-07-11,72
2015-07-12,66
2015-07-13,61
2015-07-14,68
2015-07-15,63
2015-07-16,64
2015-07-17,64
2015-07-18,82
2015-07-19,82
2015-07-20,68
2015-07-21,68
2015-07-22,66
2015-07-23,64
2015-07-24,63
2015-07-25,79
2015-07-26,82
2015-07-27,64
2015-07-28,60
2015-07-29,58
2015-07-30,70
2015-07-31,63
2015-08-01,74
2015-08-02,75
2015-08-03,58
2015-08-04,66
2015-08-05,64
2015-08-06,68
2015-08-07,80
2015-08-08,78
2015-08-09,100
2015-08-10,82
2015-08-11,77
2015-08-12,79
2015-08-13,71
2015-08-14,72
2015-08-15,89
2015-08-16,81
2015-08-17,71
2015-08-18,69
2015-08-19,73
2015-08-20,70
2015-08-21,70
2015-08-22,87
2015-08-23,85
2015-08-24,72
2015-08-25,69
2015-08-26,67
2015-08-27,72
2015-08-28,74
2015-08-29,79
2015-08-30,66
2015-08-31,63


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,81
Malaysia,81
United States,5


Top cities for dotabuff
City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),93
Moscow (Russia),87
Breña (Peru),63
Kuala Lumpur (Malaysia),55
Kiev (Ukraine),51
Melbourne (Australia),23
Jakarta (Indonesia),18
Sydney (Australia),18



Top searches for dotabuff
dotabuff mmr,100
dotabuff arteezy,70
dendi dotabuff,50
dotabuff sumail,45



Rising searches for dotabuff
dotabuff sumail,+40%



