Web Search interest: dotabuff
Worldwide Nov-Dec 2015

Interest over time
Day,dotabuff
2015-11-01,89
2015-11-02,71
2015-11-03,75
2015-11-04,82
2015-11-05,73
2015-11-06,77
2015-11-07,90
2015-11-08,93
2015-11-09,68
2015-11-10,67
2015-11-11,64
2015-11-12,64
2015-11-13,64
2015-11-14,77
2015-11-15,77
2015-11-16,64
2015-11-17,58
2015-11-18,64
2015-11-19,66
2015-11-20,70
2015-11-21,82
2015-11-22,88
2015-11-23,71
2015-11-24,78
2015-11-25,67
2015-11-26,83
2015-11-27,76
2015-11-28,79
2015-11-29,87
2015-11-30,70
2015-12-01,67
2015-12-02,67
2015-12-03,74
2015-12-04,71
2015-12-05,92
2015-12-06,89
2015-12-07,76
2015-12-08,68
2015-12-09,61
2015-12-10,73
2015-12-11,77
2015-12-12,94
2015-12-13,100
2015-12-14,67
2015-12-15,73
2015-12-16,69
2015-12-17,73
2015-12-18,87
2015-12-19,98
2015-12-20,97
2015-12-21,81
2015-12-22,81
2015-12-23,97
2015-12-24, 
2015-12-25, 


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,75
Indonesia,33
United States,5


Top cities for dotabuff
City,dotabuff
Minsk (Belarus),100
Singapore (Singapore),79
Saint Petersburg (Russia),73
Moscow (Russia),67
Kiev (Ukraine),44
Kuala Lumpur (Malaysia),43
Jakarta (Indonesia),14



Top searches for dotabuff
miracle dotabuff,100



Rising searches for dotabuff
miracle dotabuff,+40%



