Web Search interest: dotabuff
Worldwide Sep-Oct 2014

Interest over time
Day,dotabuff
2014-09-01,62
2014-09-02,54
2014-09-03,54
2014-09-04,59
2014-09-05,84
2014-09-06,98
2014-09-07,87
2014-09-08,67
2014-09-09,61
2014-09-10,63
2014-09-11,63
2014-09-12,67
2014-09-13,81
2014-09-14,90
2014-09-15,59
2014-09-16,64
2014-09-17,64
2014-09-18,57
2014-09-19,64
2014-09-20,68
2014-09-21,64
2014-09-22,63
2014-09-23,54
2014-09-24,54
2014-09-25,52
2014-09-26,71
2014-09-27,86
2014-09-28,83
2014-09-29,67
2014-09-30,63
2014-10-01,55
2014-10-02,63
2014-10-03,70
2014-10-04,74
2014-10-05,77
2014-10-06,65
2014-10-07,64
2014-10-08,72
2014-10-09,71
2014-10-10,63
2014-10-11,87
2014-10-12,84
2014-10-13,74
2014-10-14,75
2014-10-15,77
2014-10-16,70
2014-10-17,73
2014-10-18,92
2014-10-19,100
2014-10-20,74
2014-10-21,71
2014-10-22,79
2014-10-23,68
2014-10-24,69
2014-10-25,81
2014-10-26,82
2014-10-27,78
2014-10-28,72
2014-10-29,66
2014-10-30,73
2014-10-31,78


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,5


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),97
Moscow (Russia),90
Kiev (Ukraine),41



Top searches for dotabuff
dotabuff dendi,100
dotabuff high skill,55
dotabuff arteezy,50






