Web Search interest: dotabuff
Worldwide Nov-Dec 2014

Interest over time
Day,dotabuff
2014-11-01,80
2014-11-02,100
2014-11-03,82
2014-11-04,76
2014-11-05,82
2014-11-06,70
2014-11-07,78
2014-11-08,95
2014-11-09,96
2014-11-10,65
2014-11-11,77
2014-11-12,75
2014-11-13,70
2014-11-14,81
2014-11-15,82
2014-11-16,92
2014-11-17,72
2014-11-18,73
2014-11-19,59
2014-11-20,73
2014-11-21,75
2014-11-22,85
2014-11-23,81
2014-11-24,77
2014-11-25,78
2014-11-26,71
2014-11-27,77
2014-11-28,81
2014-11-29,82
2014-11-30,90
2014-12-01,81
2014-12-02,76
2014-12-03,69
2014-12-04,65
2014-12-05,72
2014-12-06,82
2014-12-07,82
2014-12-08,74
2014-12-09,67
2014-12-10,66
2014-12-11,79
2014-12-12,82
2014-12-13,88
2014-12-14,83
2014-12-15,75
2014-12-16,66
2014-12-17,72
2014-12-18,77
2014-12-19,76
2014-12-20,92
2014-12-21,83
2014-12-22,72
2014-12-23,87
2014-12-24,88
2014-12-25,88
2014-12-26,84
2014-12-27,97
2014-12-28,97
2014-12-29,84
2014-12-30,82
2014-12-31,86


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,71
United States,5


Top cities for dotabuff
Town/City,dotabuff
Singapore (Singapore),100
Moscow (Russia),86
Saint Petersburg (Russia),80
Kiev (Ukraine),45



Top searches for dotabuff
dotabuff dendi,100






