Web Search interest: dotabuff
Worldwide Jul-Aug 2014

Interest over time
Day,dotabuff
2014-07-01,56
2014-07-02,62
2014-07-03,73
2014-07-04,66
2014-07-05,73
2014-07-06,78
2014-07-07,63
2014-07-08,68
2014-07-09,50
2014-07-10,54
2014-07-11,54
2014-07-12,67
2014-07-13,73
2014-07-14,62
2014-07-15,64
2014-07-16,64
2014-07-17,57
2014-07-18,61
2014-07-19,76
2014-07-20,74
2014-07-21,65
2014-07-22,70
2014-07-23,71
2014-07-24,74
2014-07-25,76
2014-07-26,100
2014-07-27,100
2014-07-28,84
2014-07-29,87
2014-07-30,83
2014-07-31,79
2014-08-01,80
2014-08-02,95
2014-08-03,99
2014-08-04,74
2014-08-05,86
2014-08-06,76
2014-08-07,84
2014-08-08,73
2014-08-09,85
2014-08-10,95
2014-08-11,82
2014-08-12,70
2014-08-13,77
2014-08-14,64
2014-08-15,79
2014-08-16,86
2014-08-17,94
2014-08-18,82
2014-08-19,73
2014-08-20,77
2014-08-21,71
2014-08-22,86
2014-08-23,86
2014-08-24,83
2014-08-25,78
2014-08-26,75
2014-08-27,69
2014-08-28,66
2014-08-29,74
2014-08-30,81
2014-08-31,80


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,5


Top cities for dotabuff
City,dotabuff
Singapore (Singapore),100
Saint Petersburg (Russia),100
Moscow (Russia),71
Kiev (Ukraine),43
Sydney (Australia),23



Top searches for dotabuff
dendi dotabuff,100
arteezy dotabuff,50
dotabuff high skill,50



Rising searches for dotabuff
dotabuff high skill,+150%
dotabuff singsing,+80%



