Web Search interest: dotabuff
Worldwide Sep-Oct 2015

Interest over time
Day,dotabuff
2015-09-01,79
2015-09-02,81
2015-09-03,75
2015-09-04,75
2015-09-05,91
2015-09-06,96
2015-09-07,80
2015-09-08,76
2015-09-09,67
2015-09-10,63
2015-09-11,68
2015-09-12,81
2015-09-13,80
2015-09-14,72
2015-09-15,66
2015-09-16,66
2015-09-17,66
2015-09-18,71
2015-09-19,83
2015-09-20,81
2015-09-21,56
2015-09-22,67
2015-09-23,70
2015-09-24,72
2015-09-25,85
2015-09-26,100
2015-09-27,86
2015-09-28,72
2015-09-29,78
2015-09-30,79
2015-10-01,76
2015-10-02,79
2015-10-03,98
2015-10-04,93
2015-10-05,81
2015-10-06,70
2015-10-07,70
2015-10-08,72
2015-10-09,72
2015-10-10,87
2015-10-11,85
2015-10-12,73
2015-10-13,75
2015-10-14,73
2015-10-15,77
2015-10-16,80
2015-10-17,85
2015-10-18,92
2015-10-19,76
2015-10-20,68
2015-10-21,74
2015-10-22,78
2015-10-23,87
2015-10-24,91
2015-10-25,98
2015-10-26,81
2015-10-27,84
2015-10-28,89
2015-10-29,84
2015-10-30,73
2015-10-31,92


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,84
United States,6


Top cities for dotabuff
City,dotabuff
Minsk (Belarus),100
Saint Petersburg (Russia),73
Singapore (Singapore),64
Moscow (Russia),59
Kiev (Ukraine),43
Kuala Lumpur (Malaysia),42
Jakarta (Indonesia),14



Top searches for dotabuff
dotabuff dendi,100
dotabuff miracle,90






