Web Search interest: dotabuff
Worldwide Mar-Apr 2015

Interest over time
Day,dotabuff
2015-03-01,84
2015-03-02,62
2015-03-03,67
2015-03-04,69
2015-03-05,73
2015-03-06,75
2015-03-07,91
2015-03-08,79
2015-03-09,70
2015-03-10,74
2015-03-11,70
2015-03-12,68
2015-03-13,71
2015-03-14,89
2015-03-15,80
2015-03-16,67
2015-03-17,66
2015-03-18,75
2015-03-19,72
2015-03-20,76
2015-03-21,82
2015-03-22,76
2015-03-23,65
2015-03-24,70
2015-03-25,75
2015-03-26,71
2015-03-27,68
2015-03-28,88
2015-03-29,85
2015-03-30,75
2015-03-31,90
2015-04-01,79
2015-04-02,85
2015-04-03,84
2015-04-04,99
2015-04-05,97
2015-04-06,83
2015-04-07,75
2015-04-08,76
2015-04-09,73
2015-04-10,79
2015-04-11,87
2015-04-12,92
2015-04-13,72
2015-04-14,75
2015-04-15,67
2015-04-16,72
2015-04-17,70
2015-04-18,77
2015-04-19,87
2015-04-20,68
2015-04-21,81
2015-04-22,72
2015-04-23,67
2015-04-24,80
2015-04-25,78
2015-04-26,100
2015-04-27,74
2015-04-28,64
2015-04-29,61
2015-04-30,70


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,69
United States,5


Top cities for dotabuff
City,dotabuff
Novosibirsk (Russia),100
Saint Petersburg (Russia),69
Singapore (Singapore),64
Moscow (Russia),60
Kiev (Ukraine),37
Kuala Lumpur (Malaysia),30



Top searches for dotabuff
dotabuff dendi,100
arteezy dotabuff,55






