Web Search interest: dotabuff
Worldwide Jul-Aug 2014

Interest over time
Day,dotabuff
2014-07-01,46
2014-07-02,61
2014-07-03,72
2014-07-04,61
2014-07-05,67
2014-07-06,75
2014-07-07,61
2014-07-08,60
2014-07-09,49
2014-07-10,58
2014-07-11,57
2014-07-12,66
2014-07-13,67
2014-07-14,63
2014-07-15,62
2014-07-16,68
2014-07-17,67
2014-07-18,63
2014-07-19,73
2014-07-20,72
2014-07-21,65
2014-07-22,69
2014-07-23,72
2014-07-24,80
2014-07-25,85
2014-07-26,100
2014-07-27,99
2014-07-28,80
2014-07-29,79
2014-07-30,74
2014-07-31,75
2014-08-01,69
2014-08-02,83
2014-08-03,95
2014-08-04,73
2014-08-05,81
2014-08-06,74
2014-08-07,72
2014-08-08,71
2014-08-09,87
2014-08-10,92
2014-08-11,77
2014-08-12,64
2014-08-13,72
2014-08-14,71
2014-08-15,74
2014-08-16,72
2014-08-17,93
2014-08-18,75
2014-08-19,72
2014-08-20,65
2014-08-21,69
2014-08-22,78
2014-08-23,93
2014-08-24,78
2014-08-25,75
2014-08-26,77
2014-08-27,63
2014-08-28,69
2014-08-29,68
2014-08-30,80
2014-08-31,75


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,5


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),97
Moscow (Russia),75
Kiev (Ukraine),42
Sydney (Australia),27



Top searches for dotabuff
dendi dotabuff,100
dotabuff high skill,60
dotabuff arteezy,45
dotabuff singsing,45



Rising searches for dotabuff
dotabuff high skill,Breakout
dotabuff singsing,Breakout



