Web Search interest: smite xbox one
Worldwide Jan-Feb 2015

Interest over time
Week,smite xbox one
2015-01-04 - 2015-01-10,100
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,27



Top searches for smite xbox one
smite beta,100



Rising searches for smite xbox one
smite beta,Breakout



