Web Search interest: hon dota
Worldwide Sep-Oct 2009

Interest over time
Week,hon dota
2009-09-06 - 2009-09-12,87
2009-09-13 - 2009-09-19,90
2009-09-20 - 2009-09-26,100
2009-09-27 - 2009-10-03,69
2009-10-04 - 2009-10-10,71
2009-10-11 - 2009-10-17,72
2009-10-18 - 2009-10-24,81
2009-10-25 - 2009-10-31,65



Top searches for hon dota
heroes of newerth,100






