Web Search interest: hon dota
Worldwide Jan-Feb 2014

Interest over time
Week,hon dota
2014-01-05 - 2014-01-11,89
2014-01-12 - 2014-01-18,92
2014-01-19 - 2014-01-25,82
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,90
2014-02-16 - 2014-02-22,86
2014-02-23 - 2014-03-01,79









