Web Search interest: dota 2 reborn beta
Worldwide Jul-Aug 2015

Interest over time
Week,dota 2 reborn beta
2015-07-05 - 2015-07-11,63
2015-07-12 - 2015-07-18,40
2015-07-19 - 2015-07-25,100
2015-07-26 - 2015-08-01,66
2015-08-02 - 2015-08-08,60
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,48
2015-08-23 - 2015-08-29,42
2015-08-30 - 2015-09-05,81









