Web Search interest: overwatch characters
Worldwide Sep-Oct 2015

Interest over time
Week,overwatch characters
2015-09-06 - 2015-09-12,0
2015-09-13 - 2015-09-19,0
2015-09-20 - 2015-09-26,20
2015-09-27 - 2015-10-03,19
2015-10-04 - 2015-10-10,19
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,100









