Web Search interest: magicka download
Worldwide Jul-Aug 2011

Interest over time
Week,magicka download
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,100
2011-07-17 - 2011-07-23,77
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,51
2011-08-14 - 2011-08-20,54
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,49









