Web Search interest: magicka download
Worldwide May-Jun 2011

Interest over time
Week,magicka download
2011-05-01 - 2011-05-07,85
2011-05-08 - 2011-05-14,100
2011-05-15 - 2011-05-21,78
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,76
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,78
2011-06-26 - 2011-07-02,92









