Web Search interest: magicka download
Worldwide Jul-Aug 2012

Interest over time
Week,magicka download
2012-07-01 - 2012-07-07,59
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,59
2012-07-22 - 2012-07-28,100
2012-07-29 - 2012-08-04,88
2012-08-05 - 2012-08-11,70
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,68
2012-08-26 - 2012-09-01,46









