Web Search interest: magicka download
Worldwide Mar-Apr 2012

Interest over time
Week,magicka download
2012-03-04 - 2012-03-10,91
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,80
2012-04-01 - 2012-04-07,100
2012-04-08 - 2012-04-14,83
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,62
2012-04-29 - 2012-05-05,77









