Web Search interest: magicka download
Worldwide Sep-Oct 2011

Interest over time
Week,magicka download
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,100
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,51
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,53
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,45









