Web Search interest: magicka download
Worldwide Sep-Oct 2012

Interest over time
Week,magicka download
2012-09-02 - 2012-09-08,0
2012-09-09 - 2012-09-15,30
2012-09-16 - 2012-09-22,30
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,100
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,38









