Web Search interest: magicka download
Worldwide Jan-Feb 2013

Interest over time
Week,magicka download
2013-01-06 - 2013-01-12,0
2013-01-13 - 2013-01-19,100
2013-01-20 - 2013-01-26,82
2013-01-27 - 2013-02-02,98
2013-02-03 - 2013-02-09,67
2013-02-10 - 2013-02-16,71
2013-02-17 - 2013-02-23,0
2013-02-24 - 2013-03-02,0









