Web Search interest: magicka download
Worldwide Jan-Feb 2012

Interest over time
Week,magicka download
2012-01-01 - 2012-01-07,81
2012-01-08 - 2012-01-14,100
2012-01-15 - 2012-01-21,63
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,65
2012-02-26 - 2012-03-03,73









