Web Search interest: magicka download
Worldwide Mar-Apr 2011

Interest over time
Week,magicka download
2011-03-06 - 2011-03-12,84
2011-03-13 - 2011-03-19,81
2011-03-20 - 2011-03-26,85
2011-03-27 - 2011-04-02,80
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,100
2011-04-17 - 2011-04-23,90
2011-04-24 - 2011-04-30,58









