Web Search interest: overwatch game
Worldwide Sep-Oct 2015

Interest over time
Week,overwatch game
2015-09-06 - 2015-09-12,16
2015-09-13 - 2015-09-19,16
2015-09-20 - 2015-09-26,18
2015-09-27 - 2015-10-03,19
2015-10-04 - 2015-10-10,15
2015-10-11 - 2015-10-17,31
2015-10-18 - 2015-10-24,17
2015-10-25 - 2015-10-31,100






Rising searches for overwatch game
overwatch beta,+50%



