Web Search interest: infinite crisis download
Worldwide Mar-Apr 2014

Interest over time
Week,infinite crisis download
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,81
2014-03-16 - 2014-03-22,100
2014-03-23 - 2014-03-29,86
2014-03-30 - 2014-04-05,59
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,0
2014-04-20 - 2014-04-26,0
2014-04-27 - 2014-05-03,0









