Web Search interest: smite build
Worldwide Sep-Oct 2014

Interest over time
Day,smite build
2014-09-01,79
2014-09-02,65
2014-09-03,54
2014-09-04,50
2014-09-05,58
2014-09-06,100
2014-09-07,93
2014-09-08,68
2014-09-09,58
2014-09-10,57
2014-09-11,48
2014-09-12,64
2014-09-13,65
2014-09-14,70
2014-09-15,66
2014-09-16,55
2014-09-17,40
2014-09-18,49
2014-09-19,58
2014-09-20,87
2014-09-21,71
2014-09-22,55
2014-09-23,67
2014-09-24,64
2014-09-25,45
2014-09-26,49
2014-09-27,78
2014-09-28,81
2014-09-29,49
2014-09-30,52
2014-10-01,51
2014-10-02,54
2014-10-03,70
2014-10-04,81
2014-10-05,73
2014-10-06,46
2014-10-07,68
2014-10-08,35
2014-10-09,47
2014-10-10,66
2014-10-11,81
2014-10-12,90
2014-10-13,51
2014-10-14,58
2014-10-15,62
2014-10-16,44
2014-10-17,60
2014-10-18,71
2014-10-19,74
2014-10-20,59
2014-10-21,55
2014-10-22,51
2014-10-23,56
2014-10-24,57
2014-10-25,76
2014-10-26,76
2014-10-27,57
2014-10-28,51
2014-10-29,63
2014-10-30,66
2014-10-31,58









