Web Search interest: download overwatch
Worldwide Nov-Dec 2015

Interest over time
Week,download overwatch
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,53
2015-11-15 - 2015-11-21,60
2015-11-22 - 2015-11-28,53
2015-11-29 - 2015-12-05,36
2015-12-06 - 2015-12-12,24
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,25



Top searches for download overwatch
overwatch beta download,100
overwatch beta,90






