Web Search interest: virtus pro
Worldwide Jan-Feb 2015

Interest over time
Day,virtus pro
2015-01-01,35
2015-01-02,24
2015-01-03,37
2015-01-04,33
2015-01-05,38
2015-01-06,45
2015-01-07,33
2015-01-08,39
2015-01-09,43
2015-01-10,45
2015-01-11,32
2015-01-12,28
2015-01-13,20
2015-01-14,26
2015-01-15,46
2015-01-16,32
2015-01-17,63
2015-01-18,100
2015-01-19,47
2015-01-20,35
2015-01-21,53
2015-01-22,72
2015-01-23,42
2015-01-24,28
2015-01-25,31
2015-01-26,34
2015-01-27,35
2015-01-28,26
2015-01-29,28
2015-01-30,55
2015-01-31,43
2015-02-01,30
2015-02-02,43
2015-02-03,54
2015-02-04,22
2015-02-05,36
2015-02-06,32
2015-02-07,60
2015-02-08,32
2015-02-09,18
2015-02-10,89
2015-02-11,64
2015-02-12,36
2015-02-13,47
2015-02-14,43
2015-02-15,52
2015-02-16,70
2015-02-17,51
2015-02-18,67
2015-02-19,52
2015-02-20,44
2015-02-21,38
2015-02-22,44
2015-02-23,60
2015-02-24,50
2015-02-25,51
2015-02-26,56
2015-02-27,57
2015-02-28,52


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,58


Top cities for virtus pro
City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
virtus pro csgo,100






