Web Search interest: virtus pro
Worldwide May-Jun 2015

Interest over time
Day,virtus pro
2015-05-01,54
2015-05-02,70
2015-05-03,78
2015-05-04,47
2015-05-05,51
2015-05-06,50
2015-05-07,66
2015-05-08,41
2015-05-09,41
2015-05-10,40
2015-05-11,56
2015-05-12,40
2015-05-13,58
2015-05-14,27
2015-05-15,44
2015-05-16,63
2015-05-17,100
2015-05-18,39
2015-05-19,54
2015-05-20,54
2015-05-21,41
2015-05-22,44
2015-05-23,54
2015-05-24,40
2015-05-25,43
2015-05-26,66
2015-05-27,49
2015-05-28,51
2015-05-29,48
2015-05-30,53
2015-05-31,57
2015-06-01,49
2015-06-02,45
2015-06-03,50
2015-06-04,37
2015-06-05,42
2015-06-06,35
2015-06-07,30
2015-06-08,29
2015-06-09,44
2015-06-10,40
2015-06-11,41
2015-06-12,27
2015-06-13,35
2015-06-14,59
2015-06-15,76
2015-06-16,50
2015-06-17,44
2015-06-18,57
2015-06-19,32
2015-06-20,58
2015-06-21,51
2015-06-22,42
2015-06-23,53
2015-06-24,56
2015-06-25,28
2015-06-26,36
2015-06-27,54
2015-06-28,41
2015-06-29,30
2015-06-30,36


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,45


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
fnatic,100
virtus pro dota,95
hltv,50



Rising searches for virtus pro
virtus pro dota,+140%



