Web Search interest: virtus pro
Worldwide Nov-Dec 2015

Interest over time
Day,virtus pro
2015-11-01,89
2015-11-02,50
2015-11-03,67
2015-11-04,53
2015-11-05,46
2015-11-06,47
2015-11-07,80
2015-11-08,87
2015-11-09,51
2015-11-10,36
2015-11-11,66
2015-11-12,56
2015-11-13,100
2015-11-14,80
2015-11-15,86
2015-11-16,51
2015-11-17,87
2015-11-18,76
2015-11-19,58
2015-11-20,46
2015-11-21,61
2015-11-22,85
2015-11-23,35
2015-11-24,30
2015-11-25,45
2015-11-26,54
2015-11-27,48
2015-11-28,72
2015-11-29,50
2015-11-30,32
2015-12-01,37
2015-12-02,70
2015-12-03,51
2015-12-04,58
2015-12-05,35
2015-12-06,40
2015-12-07,49
2015-12-08,38
2015-12-09,31
2015-12-10,36
2015-12-11,42
2015-12-12,51
2015-12-13,78
2015-12-14,43
2015-12-15,41
2015-12-16,46
2015-12-17,40
2015-12-18,33
2015-12-19,45
2015-12-20,35
2015-12-21,27
2015-12-22,30
2015-12-23,46
2015-12-24, 
2015-12-25, 


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,48


Top cities for virtus pro
City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
virtus pro dota,100
fnatic,55



Rising searches for virtus pro
virtus pro dota,+60%



