Web Search interest: virtus pro
Worldwide Jul-Aug 2015

Interest over time
Day,virtus pro
2015-07-01,10
2015-07-02,21
2015-07-03,12
2015-07-04,27
2015-07-05,17
2015-07-06,12
2015-07-07,22
2015-07-08,16
2015-07-09,12
2015-07-10,9
2015-07-11,14
2015-07-12,11
2015-07-13,11
2015-07-14,20
2015-07-15,13
2015-07-16,15
2015-07-17,21
2015-07-18,16
2015-07-19,13
2015-07-20,15
2015-07-21,13
2015-07-22,8
2015-07-23,10
2015-07-24,15
2015-07-25,22
2015-07-26,31
2015-07-27,20
2015-07-28,19
2015-07-29,19
2015-07-30,14
2015-07-31,13
2015-08-01,12
2015-08-02,11
2015-08-03,11
2015-08-04,22
2015-08-05,35
2015-08-06,52
2015-08-07,79
2015-08-08,27
2015-08-09,20
2015-08-10,13
2015-08-11,13
2015-08-12,11
2015-08-13,12
2015-08-14,9
2015-08-15,15
2015-08-16,14
2015-08-17,9
2015-08-18,13
2015-08-19,12
2015-08-20,34
2015-08-21,22
2015-08-22,70
2015-08-23,100
2015-08-24,27
2015-08-25,17
2015-08-26,22
2015-08-27,20
2015-08-28,23
2015-08-29,21
2015-08-30,17
2015-08-31,12


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,54


Top cities for virtus pro
City,virtus pro
Warsaw (Poland),100
Moscow (Russia),60



Top searches for virtus pro
virtus pro dota,100
fnatic,85
team secret,30
hltv,25



Rising searches for virtus pro
team secret,Breakout
virtus pro dota,+70%



