Web Search interest: heroes of the storm news
Worldwide May-Jun 2015

Interest over time
Week,heroes of the storm news
2015-05-03 - 2015-05-09,58
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,79
2015-05-31 - 2015-06-06,98
2015-06-07 - 2015-06-13,86
2015-06-14 - 2015-06-20,98
2015-06-21 - 2015-06-27,100
2015-06-28 - 2015-07-04,67









