Web Search interest: dota 2 lounge
Worldwide Nov-Dec 2014

Interest over time
Day,dota 2 lounge
2014-11-01,95
2014-11-02,89
2014-11-03,72
2014-11-04,67
2014-11-05,66
2014-11-06,72
2014-11-07,73
2014-11-08,100
2014-11-09,97
2014-11-10,72
2014-11-11,68
2014-11-12,65
2014-11-13,68
2014-11-14,70
2014-11-15,70
2014-11-16,76
2014-11-17,68
2014-11-18,70
2014-11-19,63
2014-11-20,73
2014-11-21,68
2014-11-22,73
2014-11-23,63
2014-11-24,52
2014-11-25,52
2014-11-26,48
2014-11-27,55
2014-11-28,49
2014-11-29,62
2014-11-30,49
2014-12-01,44
2014-12-02,31
2014-12-03,55
2014-12-04,70
2014-12-05,61
2014-12-06,63
2014-12-07,68
2014-12-08,46
2014-12-09,46
2014-12-10,41
2014-12-11,49
2014-12-12,51
2014-12-13,62
2014-12-14,60
2014-12-15,53
2014-12-16,49
2014-12-17,53
2014-12-18,53
2014-12-19,48
2014-12-20,63
2014-12-21,48
2014-12-22,49
2014-12-23,49
2014-12-24,56
2014-12-25,52
2014-12-26,53
2014-12-27,62
2014-12-28,43
2014-12-29,34
2014-12-30,36
2014-12-31,35


Top regions for dota 2 lounge
Region,dota 2 lounge
Peru,100
Philippines,82
Indonesia,28
Russia,19


Top cities for dota 2 lounge
Town/City,dota 2 lounge
Bandung (Indonesia),100
Quezon City (Philippines),65
Jakarta (Indonesia),15



Top searches for dota 2 lounge
dota2lounge,100
dota 2 trade,60
dota trade,60
dota 2 market,50






