Web Search interest: dota 2 lounge
Worldwide Sep-Oct 2015

Interest over time
Day,dota 2 lounge
2015-09-01,75
2015-09-02,74
2015-09-03,71
2015-09-04,91
2015-09-05,94
2015-09-06,73
2015-09-07,79
2015-09-08,61
2015-09-09,71
2015-09-10,69
2015-09-11,54
2015-09-12,80
2015-09-13,73
2015-09-14,55
2015-09-15,73
2015-09-16,73
2015-09-17,58
2015-09-18,58
2015-09-19,81
2015-09-20,64
2015-09-21,53
2015-09-22,61
2015-09-23,59
2015-09-24,62
2015-09-25,70
2015-09-26,75
2015-09-27,57
2015-09-28,49
2015-09-29,49
2015-09-30,49
2015-10-01,65
2015-10-02,54
2015-10-03,100
2015-10-04,93
2015-10-05,61
2015-10-06,51
2015-10-07,73
2015-10-08,55
2015-10-09,55
2015-10-10,80
2015-10-11,75
2015-10-12,69
2015-10-13,58
2015-10-14,64
2015-10-15,59
2015-10-16,69
2015-10-17,97
2015-10-18,87
2015-10-19,54
2015-10-20,50
2015-10-21,62
2015-10-22,63
2015-10-23,58
2015-10-24,64
2015-10-25,60
2015-10-26,55
2015-10-27,49
2015-10-28,54
2015-10-29,56
2015-10-30,54
2015-10-31,52









