Web Search interest: dota 2 lounge
Worldwide May-Jun 2015

Interest over time
Day,dota 2 lounge
2015-05-01,64
2015-05-02,73
2015-05-03,57
2015-05-04,51
2015-05-05,54
2015-05-06,63
2015-05-07,49
2015-05-08,61
2015-05-09,66
2015-05-10,64
2015-05-11,54
2015-05-12,43
2015-05-13,66
2015-05-14,69
2015-05-15,68
2015-05-16,78
2015-05-17,79
2015-05-18,58
2015-05-19,50
2015-05-20,54
2015-05-21,65
2015-05-22,100
2015-05-23,84
2015-05-24,60
2015-05-25,69
2015-05-26,54
2015-05-27,58
2015-05-28,52
2015-05-29,74
2015-05-30,70
2015-05-31,67
2015-06-01,64
2015-06-02,42
2015-06-03,47
2015-06-04,58
2015-06-05,62
2015-06-06,79
2015-06-07,58
2015-06-08,39
2015-06-09,29
2015-06-10,34
2015-06-11,30
2015-06-12,33
2015-06-13,59
2015-06-14,63
2015-06-15,47
2015-06-16,28
2015-06-17,34
2015-06-18,47
2015-06-19,37
2015-06-20,71
2015-06-21,68
2015-06-22,28
2015-06-23,32
2015-06-24,37
2015-06-25,30
2015-06-26,35
2015-06-27,44
2015-06-28,44
2015-06-29,30
2015-06-30,28


Top regions for dota 2 lounge
Region,dota 2 lounge
Peru,100


Top cities for dota 2 lounge
Town/City,dota 2 lounge
Arequipa (Peru),100
Kuala Lumpur (Malaysia),0



Top searches for dota 2 lounge
dota2lounge,100
dota 2 twitch,80



Rising searches for dota 2 lounge
dota 2 twitch,+50%



