Web Search interest: dota 2 lounge
Worldwide Nov-Dec 2015

Interest over time
Day,dota 2 lounge
2015-11-01,53
2015-11-02,43
2015-11-03,38
2015-11-04,31
2015-11-05,31
2015-11-06,35
2015-11-07,38
2015-11-08,36
2015-11-09,30
2015-11-10,27
2015-11-11,29
2015-11-12,32
2015-11-13,64
2015-11-14,72
2015-11-15,51
2015-11-16,77
2015-11-17,76
2015-11-18,54
2015-11-19,54
2015-11-20,64
2015-11-21,100
2015-11-22,46
2015-11-23,37
2015-11-24,27
2015-11-25,34
2015-11-26,36
2015-11-27,41
2015-11-28,35
2015-11-29,46
2015-11-30,32
2015-12-01,46
2015-12-02,67
2015-12-03,54
2015-12-04,39
2015-12-05,41
2015-12-06,51
2015-12-07,36
2015-12-08,34
2015-12-09,41
2015-12-10,40
2015-12-11,40
2015-12-12,34
2015-12-13,38
2015-12-14,29
2015-12-15,25
2015-12-16,29
2015-12-17,26
2015-12-18,28
2015-12-19,37
2015-12-20,30
2015-12-21,26
2015-12-22,27
2015-12-23,30
2015-12-24,31
2015-12-25, 
2015-12-26, 









