Web Search interest: dota 2 lounge
Worldwide Mar-Apr 2015

Interest over time
Day,dota 2 lounge
2015-03-01,60
2015-03-02,48
2015-03-03,51
2015-03-04,63
2015-03-05,53
2015-03-06,54
2015-03-07,71
2015-03-08,68
2015-03-09,56
2015-03-10,54
2015-03-11,57
2015-03-12,57
2015-03-13,61
2015-03-14,70
2015-03-15,62
2015-03-16,53
2015-03-17,53
2015-03-18,40
2015-03-19,52
2015-03-20,55
2015-03-21,78
2015-03-22,73
2015-03-23,56
2015-03-24,57
2015-03-25,72
2015-03-26,60
2015-03-27,53
2015-03-28,68
2015-03-29,60
2015-03-30,63
2015-03-31,63
2015-04-01,52
2015-04-02,65
2015-04-03,58
2015-04-04,78
2015-04-05,71
2015-04-06,64
2015-04-07,64
2015-04-08,53
2015-04-09,56
2015-04-10,55
2015-04-11,94
2015-04-12,77
2015-04-13,57
2015-04-14,61
2015-04-15,61
2015-04-16,59
2015-04-17,66
2015-04-18,86
2015-04-19,79
2015-04-20,65
2015-04-21,58
2015-04-22,64
2015-04-23,63
2015-04-24,83
2015-04-25,100
2015-04-26,95
2015-04-27,49
2015-04-28,59
2015-04-29,56
2015-04-30,70


Top regions for dota 2 lounge
Region,dota 2 lounge
Peru,100
Indonesia,22


Top cities for dota 2 lounge
Town/City,dota 2 lounge
Arequipa (Peru),100
Quezon City (Philippines),14
Jakarta (Indonesia),4



Top searches for dota 2 lounge
dota 2 market,100






