Web Search interest: dota 2 reborn console
Worldwide Sep-Oct 2015

Interest over time
Week,dota 2 reborn console
2015-09-06 - 2015-09-12,100
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,35
2015-09-27 - 2015-10-03,30
2015-10-04 - 2015-10-10,36
2015-10-11 - 2015-10-17,20
2015-10-18 - 2015-10-24,20
2015-10-25 - 2015-10-31,20









